Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,120,8,7000.0,18207.04705333335,139.91069999997308,156493.8755999999,52.266666666666666,0.6828012357806618,0.045520082385377456,7000,8400,9800,11000,72000,110000,142000,152000,156000,156000,156000
POST,/message,204,17,7800.0,16743.681640686267,50.905099999909,171691.54389999993,3463.1470588235293,1.1607621008271252,0.09673017506892709,7800,9200,12000,13000,34000,93000,130000,161000,172000,172000,172000
,Aggregated,324,25,7600.0,17285.668830555547,50.905099999909,171691.54389999993,2199.858024691358,1.8435633366077868,0.14225025745430456,7600,8900,11000,13000,47000,100000,142000,156000,172000,172000,172000
