Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,107,9,6700.0,19593.91589252336,723.1470000001536,177935.2260999999,51.28971962616822,0.6012229706692247,0.05057015641143012,6700,8400,9300,9800,97000,128000,155000,168000,178000,178000,178000
POST,/message,229,20,8300.0,14669.011223144102,136.6477000001396,171448.81069999997,3447.685589519651,1.2867295353574997,0.1123781253587336,8300,10000,11000,12000,16000,68000,124000,152000,171000,171000,171000
,Aggregated,336,29,7900.0,16237.35884107143,136.6477000001396,177935.2260999999,2366.095238095238,1.8879525060267244,0.1629482817701637,8000,9400,11000,12000,16000,100000,143000,162000,178000,178000,178000
