Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1728633727,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728633728,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1728633729,10,,Aggregated,0.000000,0.000000,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,3,0,1300.0,1298.145399999915,1295.7786999998007,1300.3254999998717,1291.6666666666667
1728633730,15,,Aggregated,0.000000,0.000000,1300,1300,2200,2200,2200,2200,2200,2200,2200,2200,2200,4,0,1300.0,1516.2204499999348,1295.7786999998007,2170.4455999999936,1914.25
1728633731,25,,Aggregated,0.000000,0.000000,2200,2200,2200,2200,3200,3200,3200,3200,3200,3200,3200,6,0,1300.0,1904.5841333332874,1295.7786999998007,3179.65009999989,1916.1666666666667
1728633732,30,,Aggregated,1.500000,0.000000,2200,2200,3100,3100,3200,3200,3200,3200,3200,3200,3200,7,0,2200.0,2081.720557142814,1295.7786999998007,3179.65009999989,2180.285714285714
1728633733,35,,Aggregated,1.500000,0.000000,2200,2200,3100,3100,3200,3200,3200,3200,3200,3200,3200,7,0,2200.0,2081.720557142814,1295.7786999998007,3179.65009999989,2180.285714285714
1728633734,40,,Aggregated,1.500000,0.000000,2200,2400,3100,3200,5200,5200,5200,5200,5200,5200,5200,10,0,2200.0,2431.440619999966,1295.7786999998007,5192.687999999862,2287.0
1728633735,45,,Aggregated,1.400000,0.000000,2900,3100,3200,3400,5200,6500,6500,6500,6500,6500,6500,15,0,2900.0,2884.4316199999867,1295.7786999998007,6512.447399999928,1791.8666666666666
1728633736,50,,Aggregated,1.428571,0.000000,2900,3200,3200,3400,6500,8000,8000,8000,8000,8000,8000,17,0,2900.0,3151.0342941176345,1295.7786999998007,8002.129999999852,2024.1176470588234
1728633737,50,,Aggregated,1.428571,0.000000,2900,3200,3200,3400,6500,8000,8000,8000,8000,8000,8000,17,0,2900.0,3151.0342941176345,1295.7786999998007,8002.129999999852,2024.1176470588234
1728633738,50,,Aggregated,1.428571,0.000000,2900,3200,3200,3400,6500,8000,8000,8000,8000,8000,8000,17,0,2900.0,3151.0342941176345,1295.7786999998007,8002.129999999852,2024.1176470588234
