Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,122,10,8100.0,16469.67777131149,596.2260999999671,162931.45159999994,51.40983606557377,0.6896317580792505,0.05652719328518447,8400,9600,10000,11000,13000,107000,134000,151000,163000,163000,163000
POST,/message,224,10,9100.0,14806.754981696418,398.12700000015866,167823.0579000001,3609.058035714286,1.2662091295881321,0.05652719328518447,9200,10000,11000,11000,24000,61000,113000,147000,168000,168000,168000
,Aggregated,346,20,8900.0,15393.103479768777,398.12700000015866,167823.0579000001,2354.627167630058,1.9558408876673827,0.11305438657036894,9000,10000,11000,11000,23000,75000,134000,151000,168000,168000,168000
