Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,108,2,2600.0,2795.8635990740727,4.309100000000399,11172.296800000026,54.96296296296296,0.6042745346724182,0.011190269160600336,2700,3600,4100,4200,5200,5900,8100,9600,11000,11000,11000
POST,/message,219,3,3100.0,3593.5666324200865,466.34929999993346,11625.613199999974,3725.9954337899544,1.225334473085737,0.016785403740900505,3100,4200,4700,4900,6200,9800,11000,11000,12000,12000,12000
,Aggregated,327,5,2900.0,3330.1050801223223,4.309100000000399,11625.613199999974,2513.544342507645,1.829609007758155,0.027975672901500843,2900,4000,4400,4700,5900,8100,11000,11000,12000,12000,12000
